id,en,fr
_see_my_letters,See my letters,Voir mes lettres
_start_story,Start Story,Commencer l'histoire
_language_challenges,Language Challenges,Défis de language
_quit,Quit,Quitter
_type_your_name,Type your name,Entre ton nom
_pick_character,Pick your character's appearance,Choisis l'apparence de ton personnage
_can_you_read_thai,Can you already read the Thai alphabet?,Sais-tu lire les letters de l'alphabet Thaï ?
_yes,Yes,Oui
_no,No,Non
_do_you_want_to_leave_game,Do you want to leave the game?,Veux-tu quitter le jeu ?
_leave_game,Leave the game,Quitter le jeu
_continue_playing,Continue playing,Continuer à jouer
_start_playing,Start playing,Commencer le jeu
_move_with_arrow_keys,Move with arrow keys or WASD,Déplace-toi avec les flèches ou WASD
_space_to_interact,Press Space to interact,Appuie sur Espace pour interagir
_active_quests,Active quests,Quêtes en cours
_granny_is_waiting_outside,Granny is waiting for you outside.,Mamie t'attends dehord.
_be_brave_okay,"Be brave, okay?","Tu seras brave, hein ?"
_press_f_to_exit,Press the escape key to exit,Appuie sur échap pour fermer
_see_my_words,See my words,Voir mes mots
_go_to_the_letter_world,Go to the Letter World,Entrer dans le monde des letters
_see_my_sentences,See my sentences,Voir mes phrases
_oh_name_you_woke_up,"Oh [Name], you woke up?","Ah, [Name], t'as finis par te lever ?"
_today_is_your_big_day,"Today is your big day, did you manage to sleep at all?","Aujourd'hui c'est le jour de ta cérémonie, ça a pas du être facile de t'endormir."
_mom,Mom,Maman
_dad,Dad,Papa
_press_space,Press Space,Appuie sur Espace
_be_strong_name,Be strong [Name].,"Courage, [Name]."
_you_ll_be_brave_alright,"You’ll be brave, alright?","Tu n'as pas à avoir peur, [Name]."
_granny_is_best_nothing_to_fear,"Granny is the best shaman in all Isan, you have nothing to fear.","Mamie est la meilleure shamane de tout Isan, tout se passera bien."
_dont_forget_i_love_you,"And whatever you will forget, remember your mom loves you!","Quoi que tu oublies pendant la cérémonie, n'oublie pas que ta maman t'aime fort !"
_alright_name_lets_go,"Alright [Name], let’s go.","Allez, [Name], on y va !"
_you_ve_discovered_a_sentence,You've discovered a sentence!,Tu as découvert une phrase !
_it_will_help_you_to_guess_meaning_words,It will help you later to guess the meaning of its words,Elle t'aidera à deviner le sens de ses mots plus tard.
_got_it,Got it!,Compris!
_names_writes_sentence_in_notebook,[Name] writes the sentence in the notebook.,[Name] note la phrase dans le carnet.
_press_f_to_see_all_sentences,Click on the sentence button on the side of your screen to see all your sentences.,Appuie sur F pour voir toutes tes phrases.
_som_s_father,Som's father,Père de Som
_som_s_mother,Som's Mother,Mère de Som
_go_back_to_the_material_world,Go back to the Material World,Retourner dans le monde matériel
_unknown_meaning,Unknown meaning,Traduction inconnue
_how_s_progress_with_training_name,"How's progress with your training, [Name]? Learning many words?","Comment se passe ton éducation de chaman, [Name] ? Tu apprends beaucoup de nouveaux mots ?"
_my_grandmother_is_super_cool_right,"My grandmother is super cool, right?","Ma mamie est trop cool, hein ?"
_som_s_grandmother,Som's Grandmother,Grand-mère de Som
_you_ve_learned_a_sentence,You've learned a sentence!,Tu as appris une phrase !
_guess_the_words_meaning,Find the word's meaning,Trouve la traduction de ce mot
_show_sentences_with_that_word,Show sentences with that word,Montrer les phrases qui ont ce mot
_press_f_to_open_your_dictionary_and_see_that_word,Click on the word button on the side of your screen to open your dictionary and see your words.,Clique sur le bouton sur la droite de l'écran si tu veux voir les mots que tu connais.
_a_wild_spell_attacks,A wild Spell attacks!,Un mot sauvage attaque !
_you_dont_know_letters_go_to_letter_world,You don't know all the letters in that word. Go to the Letter World to learn them.,Tu ne connais pas toutes les lettres de ce mot. Va dans le monde des lettres pour les apprendre.
_you_dont_know_any_sentence_containing_that_word,You don't know any sentence containing that word,Tu ne connais aucune phrase contenant ce mot.
_ok,OK,OK
_press_f_to_open_your_alphabet_and_see_your_letters,Click on the letter button on the side of your screen to open your alphabet and see your letters.,Clique sur le bouton sur la droite de l'écran si tu veux voir toutes les lettres que tu connais.
_press_f_to_open_your_notebook_and_see_your_sentences,Click on the sentence button on the side of your screen to open your notebook and see your sentences.,Clique sur le bouton sur la droite de l'écran si tu veux voir les phrases que tu as vues.
_go_to_the_letter_world_to_learn,Go to the letter world to learn:,Va dans le monde des lettres pour apprendre :
_this_is_a_shrine,This is a shrine to Buddha. It is very clean!,C'est un autel à Buddha. Il est très propre !
_this_road_leads_to_chaiyaphum,This road leads to Chaiyaphum City. [sound:ชัยภูมิ],Cette route mène à la ville de Chaiyaphum. [sound:ชัยภูมิ]
_select_spell_to_implant,Select the Spell to implant inside the source,Choisis le mot que tu veux implanter dans la source.
_you_dont_have_any_spell_come_back_with_spells,"You don't any Spells, come back when you have Spells.","Tu n'as pas de mots, reviens avec un mot à implanter."
_do_you_want_to_take_it_out,Do you want to take it out? @QYes/No,Veux-tu le sortir de la source ? @QOui/Non
_it_looks_like_the_spell,It looks like the Spell ,On dirait que le mot 
