en,fr
Often close your eyes and visit your Memory Palace whenever you have a spare minute! Try to recall all the words there to make your learning most effective.,"Dès que tu as une minute de libre, ferme tes yeux et visite ton Palais de la Mémoire. Essaye de te rappeler de chaque mot pour rendre ton apprentissage optimal !"
Lao is very similar to Thai - so you'll have an easy time learning Lao once you're done with Thai!,"Le lao (ou laotien) est très similaire au thaï, alors ce sera facile pour toi de l'apprendre une fois que tu auras appris le thaï !"
There are 73 provinces in Thailand - and you can visit them all in this game!,Il y a 73 provinces en Thaïlande - et tu peux toutes les visiter dans ce jeu !
"In Thailand, two persons in seven lives in the Bangkok metropolitan area.","En Thaïlande, deux personnes sur sept vivent dans l'agglomération de Bangkok."
"The human brain is optimised for spatial memory, that's why Memory Palaces are so effective at recalling information!",Le cerveau humain est optimisé pour la mémoire des lieux - c'est pour ça que les Palais de la Mémoire sont si efficaces !
Thailand was previously called Siam (สยาม) from 1851 to 1939.,La Thaïlande s'appelait Siam (สยาม) de 1851 à 1939.
"95% of the Thai population is Buddhist, in the Theravada tradition.","95% de la population thaïe est bouddhiste, dans la tradition Theravada."
"Many words in English have cognates in Thai, because Thai borrows a lot of vocabulary from Sanskrit, an Indo-European language like English.","Beaucoup de mots en thaï sont apparentés à des mots en français - car le thaï emprunte beaucoup de vocabulaire du sanskrit, qui est une langue indo-européenne comme le français."
"The first capital of Thailand was Sukhothai, and then it was Ayutthaya, and now it is Bangkok.","La première capitale de la Thaïlande était Sukhothaï, puis ce fut Ayutthaya, et c'est maintenant Bangkok."
"The full name of Bangkok is ""Krungthepmahanakhon Amonrattanakosin Mahintharayutthaya Mahadilokphop Noppharatratchathaniburirom Udomratchaniwetmahasathan Amonphimanawatansathit Sakkathattiyawitsanukamprasit"", meaning ""City of angels, great city of immortals, magnificent city of the nine gems, seat of the king, city of royal palaces, home of gods incarnate, erected by Vishvakarman at Indra's behest"".","Le nom complet de Bangkok est ""Krungthepmahanakhon Amonrattanakosin Mahintharayutthaya Mahadilokphop Noppharatratchathaniburirom Udomratchaniwetmahasathan Amonphimanawatansathit Sakkathattiyawitsanukamprasit"", qui signifie ""Ville des dieux, grande ville, résidence du Bouddha d’émeraude, ville imprenable du dieu Indra, grande capitale du monde ciselée de neuf pierres précieuses, ville heureuse, généreuse dans l’énorme Palais Royal pareil à la demeure céleste, règne du dieu réincarné, ville dédiée à Indra et construite par Vishnukarn""."
The oldest found occurrence of written Thai language dates back to a stone inscription from 1292 AD.,La plus vieille inscription trouvée en thaï date de 1292.
"The Thai alphabet comes from the ancient Pallava script, which also evolved into other languages like Khmer in Cambodia and Burmese in Myanmar.","L'alphabet thaï vient de l'ancien script pallava, qui a aussi donné d'autres scripts comme le khmer au Cambodge et le birman au Myanmar."
You can learn more than 700 words in this game - knowing them would let you understand more than 80% of a text in average.,Tu peux apprendre plus de 700 mots dans ce jeu - les connaître te permet de comprendre en moyenne plus de 80% d'un texte en thaï!
"Repeat the words when you hear them - that way, you will remember better and learn the Thai tones.","Répète les mots quand tu les entends - comme ça, tu t'en souviendras mieux et tu apprendras à former les tons en thaï !"
"The Thai script has 44 consonants and 15 vowels symbols, 4 tones marks and a couple of diacritics.","Le script thaï est composé de 44 consonnes, 15 symboles pour les voyelles, 4 marqueurs de tons, et plusieurs autres accents."
"The Thai language has its own set of numerals, from 0 to 9: ๐ ๑ ๒ ๓ ๔ ๕ ๖ ๗ ๘ ๙","Le thaï a ses propres chiffres, en plus des chiffres arabes, de 0 à 9 : ๐ ๑ ๒ ๓ ๔ ๕ ๖ ๗ ๘ ๙"
